FOD1P,Major,Major_Category,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th,Ocupation industry
2105,INFORMATION SCIENCES,Computers & Mathematics,77805,66393,57604,3704,0.052841063,68000,46200,95000.0,Computer and Mathematical Occupations
2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,39362,32366,28156,2626,0.075045725,55000,40000,80000.0,Computer and Mathematical Occupations
2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,51771,44071,35954,2748,0.05869412,55000,36000,80000.0,Computer and Mathematical Occupations
3700,MATHEMATICS,Computers & Mathematics,432806,280902,209838,15701,0.05293608,66000,42000,100000.0,Computer and Mathematical Occupations
3701,APPLIED MATHEMATICS,Computers & Mathematics,19112,15136,12109,892,0.055652608,70000,47000,106000.0,Computer and Mathematical Occupations
3702,STATISTICS AND DECISION SCIENCE,Computers & Mathematics,24806,18808,14468,1138,0.057054046,70000,43000,102000.0,Computer and Mathematical Occupations
4005,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics,7184,5874,5039,150,0.024900397999999997,92000,53000,136000.0,Computer and Mathematical Occupations
2300,GENERAL EDUCATION,Education,1438867,843693,591863,38742,0.043903517,43000,32000,59000.0,Educational Instruction and Library Occupations
2301,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education,4037,3113,2468,0,0.0,58000,44750,79000.0,Educational Instruction and Library Occupations
2303,SCHOOL STUDENT COUNSELING,Education,2396,1492,1093,169,0.101745936,41000,33200,50000.0,Educational Instruction and Library Occupations
2304,ELEMENTARY EDUCATION,Education,1446701,819393,501786,32685,0.038359164,40000,31000,50000.0,Educational Instruction and Library Occupations
2305,MATHEMATICS TEACHER EDUCATION,Education,68808,47203,29494,1610,0.032983017,43000,34000,60000.0,Educational Instruction and Library Occupations
2306,PHYSICAL AND HEALTH EDUCATION TEACHING,Education,281661,193542,136343,9389,0.046266958,48400,34000,66500.0,Educational Instruction and Library Occupations
2307,EARLY CHILDHOOD EDUCATION,Education,157079,113460,71133,5890,0.049350649,35300,27000,45800.0,Educational Instruction and Library Occupations
2308,SCIENCE AND COMPUTER TEACHER EDUCATION,Education,56477,36224,24817,1596,0.042199894,46000,35000,61000.0,Educational Instruction and Library Occupations
2309,SECONDARY TEACHER EDUCATION,Education,224262,129486,88917,5925,0.043755677,45000,34000,60000.0,Educational Instruction and Library Occupations
